artist_name,musicality,key,acoustics,randomness,duration_ms,influence_num
Frank Sinatra,20.48362058,5,0.378251604,0.140859898,189179.9255,71
Johnny Cash,21.96810341,10,0.354141718,0.170229393,162279.2672,112
Billie Holiday,18.93002484,5,0.460781124,0.14007927,185131.453,106
Bob Dylan,24.56318154,7,0.29838911,0.186756273,256713.4203,389
The Rolling Stones,25.40134306,0,0.234962618,0.159941643,229705.9623,319
The Beach Boys,24.2821787,9,0.256925576,0.11757993,148845.0946,186
Elvis Presley,22.25517383,0,0.397517414,0.152812172,156211.0354,166
Wolfgang Amadeus Mozart,16.36464367,7,0.735226641,0.128656343,329702.9243,1
Miles Davis,20.48505059,0,0.430391906,0.137166378,404023.4456,160
Ella Fitzgerald,19.70962952,0,0.418736606,0.136926825,213098.657,75
Dean Martin,19.52334514,7,0.446272276,0.111453497,160655.7145,26
Queen,23.48005727,2,0.157464621,0.169779487,231867.1678,77
Lata Mangeshkar,18.10929464,1,0.604201245,0.146828012,214242.1953,2
Glenn Gould,17.98926599,7,0.923329477,0.093315223,191915.2335,1
The Beatles,26.85687753,0,0.206131032,0.138198178,174307.87,615
Fleetwood Mac,24.64779095,9,0.245052402,0.142619975,240890.6935,47
Led Zeppelin,25.2864003,2,0.190979052,0.144201627,327086.2959,221
Bob Marley & the Wailers,25.9674483,9,0.11636317,0.221435314,273496.7739,5
Nina Simone,21.83472301,9,0.409205629,0.174203867,233122.2689,52
Elton John,26.35326515,0,0.181250521,0.132391726,278983.8732,76
Stevie Wonder,22.99379417,1,0.184168603,0.118916943,246756.512,138
Marvin Gaye,23.25844847,0,0.280153173,0.140336993,231409.1771,169
Leonard Bernstein,16.23579179,5,0.690717729,0.156364326,331077.6007,7
The Who,24.98184009,2,0.146641821,0.157519402,239976.7066,149
Willie Nelson,22.6094347,2,0.321932815,0.128826214,190564.066,66
Grateful Dead,23.7836742,9,0.286070232,0.186369981,337784.3119,60
John Coltrane,21.19056641,0,0.413407611,0.11560919,431693.1897,118
Thelonious Monk,19.80257305,5,0.658179978,0.101636151,294534.1202,51
Vicente Fern脙隆ndez,24.66277437,7,0.284306325,0.145733232,184993.9223,4
Oscar Peterson,16.54801393,0,0.847506167,0.085783714,211745.1452,26
Metallica,26.73538495,4,0.124049725,0.223369328,369913.1555,112
U2,26.47073891,8,0.125954211,0.174823282,265289.745,81
David Bowie,25.81289305,0,0.165489899,0.134370292,242765.4619,238
Waylon Jennings,22.41970112,2,0.289207529,0.130870225,178821.5101,50
The Kinks,24.30480038,7,0.159349024,0.119352941,186075.7285,192
Red Hot Chili Peppers,26.85014414,0,0.066190467,0.129604566,241409.3881,39
Javier Sol脙颅s,20.6086619,0,0.411391532,0.143544816,168732.235,3
Aretha Franklin,23.43319362,0,0.305154074,0.159911636,217687.3664,95
Doris Day,18.27400737,0,0.442265782,0.122886332,170319.3925,11
George Strait,25.57037794,9,0.164848516,0.107207981,186386.8944,47
Van Morrison,24.00118998,7,0.212844359,0.142984129,275735.8735,63
Pink Floyd,24.58230346,7,0.344008199,0.206269807,313983.4928,142
Taylor Swift,29.22169543,7,0.090036483,0.103380549,239166.4414,1
Sam Cooke,22.26961346,7,0.349776006,0.173119241,170138.6987,128
Billy Joel,25.78687385,0,0.193798723,0.158411548,260732.5457,23
Eric Clapton,23.74425156,7,0.254350305,0.198648575,271236.5907,46
Kiss,26.7442357,1,0.122099564,0.211125655,226660.3298,89
Sarah Vaughan,18.79239803,10,0.435081727,0.140876641,192804.0682,45
John Williams,20.14998572,2,0.788498242,0.097291667,248382.4339,6
John Williams,20.14998572,2,0.788498242,0.097291667,248382.4339,6
Talking Heads,24.97431883,2,0.132279182,0.164302122,260634.6472,68
Nat King Cole,20.03784058,0,0.433324259,0.11469138,164644.1565,65
Jimmy Buffett,24.21212909,7,0.190187427,0.115354377,226808.9204,18
Michael Jackson,26.92124361,11,0.150642525,0.132737668,265750.5737,101
Charles Mingus,18.75478293,5,0.465149214,0.141641804,393268.1066,26
The Cure,25.77607855,9,0.251358518,0.128549033,262027.8757,80
Genesis,23.16227283,7,0.179878521,0.153138485,339852.897,37
Bill Evans Trio,17.71799167,0,0.779682798,0.137972866,322456.4268,2
R.E.M.,27.45686141,2,0.128365123,0.111102469,230260.6481,85
Otis Redding,25.3992091,9,0.228418696,0.129945062,176261.0154,99
Bruce Springsteen,26.36216,5,0.129644033,0.22541875,274719.1625,70
The Moody Blues,21.81305675,9,0.30242095,0.148706113,245753.6395,30
Asha Bhosle,18.69850882,3,0.544381602,0.196476176,234198.4044,4
Eagles,25.45456752,7,0.184936072,0.192298398,265786.4295,42
Peggy Lee,20.38778574,7,0.413096941,0.113864103,166680.7212,29
Nirvana,28.96288472,1,0.107455273,0.120454167,213553.2564,111
Nirvana,28.96288472,1,0.107455273,0.120454167,213553.2564,111
Peggy Lee,20.38778574,7,0.413096941,0.113864103,166680.7212,29
John Prine,24.77659778,7,0.281574259,0.128045955,208662.9935,25
Sonny Rollins,19.48372208,0,0.441471446,0.146325163,392076.5877,29
James Taylor,22.25742716,0,0.281589265,0.122113961,213511.9773,53
James Taylor,22.25742716,0,0.281589265,0.122113961,213511.9773,53
Chet Baker,20.37091717,0,0.673202579,0.09953623,242828.7246,21
Rush,26.50872579,2,0.094649634,0.193552459,353015.1246,33
Prince,25.18508966,1,0.130867036,0.148230167,304491.34,94
AC/DC,29.09200323,9,0.128893673,0.181787,263588.7333,65
Prince,25.18508966,1,0.130867036,0.148230167,304491.34,94
Prince,25.18508966,1,0.130867036,0.148230167,304491.34,94
Ramones,32.29879865,9,0.078468356,0.139756419,146842.2432,127
Neil Young,25.53903498,7,0.25349222,0.146986054,254191.5612,148
Julie London,18.92476598,10,0.4108581,0.105902397,156406.7842,10
Los Tigres del Norte,26.67007874,9,0.189720251,0.141163621,186968.8241,8
Stan Getz,19.90616766,5,0.595706202,0.105591289,305771.3937,18
Green Day,30.60498635,1,0.019376829,0.134092705,204988.3381,65
Marty Robbins,21.58026583,4,0.404086356,0.112186833,180774.1922,21
